Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Protein existence
P48174	reviewed	NU1M_ONCMY	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	MT-ND1 MTND1 NADH1 ND1	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	323	Inferred from homology
P48177	reviewed	NU6M_ONCMY	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6)	MT-ND6 MTND6 NADH6 ND6	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	173	Inferred from homology
P48249	reviewed	PRL_DICLA	Prolactin (PRL)	prl	Dicentrarchus labrax (European seabass) (Morone labrax)	212	Evidence at transcript level
P48677	reviewed	GFAP_CARAU	Glial fibrillary acidic protein (GFAP)	gfap	Carassius auratus (Goldfish)	365	Evidence at transcript level
P49697	reviewed	EM55_TAKRU	55 kDa erythrocyte membrane protein (p55) (Membrane protein, palmitoylated 1)	mpp1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	467	Inferred from homology
P49794	reviewed	MCH_OREMO	Pro-MCH [Cleaved into: Melanin-concentrating hormone (MCH)]	mch	Oreochromis mossambicus (Mozambique tilapia) (Tilapia mossambica)	136	Evidence at transcript level
P51052	reviewed	MTR1C_DANRE	Melatonin receptor type 1C (Mel-1C-R) (Mel1C receptor) (Melatonin receptor Mel1C Z2.3)	mtnr1c mel1c	Danio rerio (Zebrafish) (Brachydanio rerio)	151	Evidence at transcript level
P51466	reviewed	ARR1_ONCMY	Arrestin red cell isoform 1 (TrCarr 1)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	407	Evidence at transcript level
P51467	reviewed	ARR2_ONCMY	Arrestin red cell isoform 2 (TrCarr 2)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	405	Evidence at transcript level
P51468	reviewed	ARR3_ONCMY	Arrestin red cell isoform 3 (TrCarr 3)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	415	Evidence at transcript level
P51902	reviewed	MT_GADMO	Metallothionein (MT)	mt	Gadus morhua (Atlantic cod)	60	Inferred from homology
P51904	reviewed	PRL_ICTPU	Prolactin (PRL)	prl	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	212	Evidence at transcript level
P51917	reviewed	GON3_CARAU	Progonadoliberin-3 (Progonadoliberin III) [Cleaved into: Gonadoliberin-3 (Gonadoliberin III) (Gonadotropin-releasing hormone III) (GnRH III) (Luliberin III) (Luteinizing hormone-releasing hormone III) (LH-RH III); GnRH-associated peptide 3 (GnRH-associated peptide III)]	gnrh3	Carassius auratus (Goldfish)	94	Inferred from homology
P51921	reviewed	GON3_PAGMA	Progonadoliberin-3 (Progonadoliberin III) [Cleaved into: Gonadoliberin-3 (Gonadoliberin III) (Gonadotropin-releasing hormone III) (GnRH III) (Luliberin III) (Luteinizing hormone-releasing hormone III) (LH-RH III); GnRH-associated peptide 3 (GnRH-associated peptide III)]	gnrh3	Pagrus major (Red sea bream) (Chrysophrys major)	90	Inferred from homology
P51922	reviewed	GON3_PORNO	Progonadoliberin-3 (Progonadoliberin III) [Cleaved into: Gonadoliberin-3 (Gonadoliberin III) (Gonadotropin-releasing hormone III) (GnRH III) (Luliberin III) (Luteinizing hormone-releasing hormone III) (LH-RH III); GnRH-associated peptide 3 (GnRH-associated peptide III)]	gnrh3	Porichthys notatus (Plainfin midshipman)	89	Inferred from homology
P52720	reviewed	MTB_SALSA	Metallothionein B (MT-B)	mtb	Salmo salar (Atlantic salmon)	60	Inferred from homology
P52721	reviewed	MTA_THECR	Metallothionein A (MT-A)	mta	Thermarces cerberus (Hydrothermal vent eelpout) (Vent-endemic eelpout)	60	Inferred from homology
P52723	reviewed	MT_CARAU	Metallothionein (MT)	mt	Carassius auratus (Goldfish)	60	Inferred from homology
P52724	reviewed	MTB_CHAAC	Metallothionein B (MT-B)	mtb	Chaenocephalus aceratus (Blackfin icefish) (Chaenichthys aceratus)	60	Inferred from homology
P52725	reviewed	MT_PERFL	Metallothionein (MT)	mt	Perca fluviatilis (European perch)	60	Inferred from homology
P52726	reviewed	MT_OREMO	Metallothionein (MT)	mt	Oreochromis mossambicus (Mozambique tilapia) (Tilapia mossambica)	60	Inferred from homology
P52728	reviewed	MT_ZOAVI	Metallothionein (MT)	mt	Zoarces viviparus (Viviparous eelpout) (Blennius viviparus)	60	Inferred from homology
P52865	reviewed	RL22_GADMO	Large ribosomal subunit protein eL22 (60S ribosomal protein L22)	rpl22	Gadus morhua (Atlantic cod)	125	Evidence at transcript level
P55076	reviewed	B2MG_LABIN	Beta-2-microglobulin	b2m	Labeobarbus intermedius (Lake tana barbels) (Barbus intermedius)	116	Inferred from homology
P55246	reviewed	GON3_ONCMY	Progonadoliberin-3 (Progonadoliberin III) [Cleaved into: Gonadoliberin-3 (Gonadoliberin III) (Gonadotropin-releasing hormone III) (GnRH III) (Luliberin III) (Luteinizing hormone-releasing hormone III) (LH-RH III); GnRH-associated peptide 3 (GnRH-associated peptide III)]	gnrh3	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	74	Inferred from homology
P55779	reviewed	NU1M_GADMO	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	MT-ND1 MTND1 NADH1 ND1	Gadus morhua (Atlantic cod)	323	Inferred from homology
P55783	reviewed	NU6M_GADMO	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6)	MT-ND6 MTND6 NADH6 ND6	Gadus morhua (Atlantic cod)	173	Inferred from homology
P55945	reviewed	MT_PSEAM	Metallothionein (MT)	mt	Pseudopleuronectes americanus (Winter flounder) (Pleuronectes americanus)	60	Evidence at protein level
P56272	reviewed	PEP2B_GADMO	Pepsin-2B (EC 3.4.23.-) (Pepsin IIB)		Gadus morhua (Atlantic cod)	324	Evidence at protein level
P58369	reviewed	ANKH_TETNG	Progressive ankylosis protein homolog (ANK)	ankh GSTENG00031805001	Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)	487	Evidence at transcript level
P58372	reviewed	RL30_ICTPU	Large ribosomal subunit protein eL30 (60S ribosomal protein L30)	rpl30	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	116	Inferred from homology
P59906	reviewed	DICT_DICLA	Dicentracin (Dicentracine)		Dicentrarchus labrax (European seabass) (Morone labrax)	79	Inferred from homology
P61133	reviewed	LYG_TAKRU	Lysozyme g (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase)		Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	190	Evidence at transcript level
P61155	reviewed	RS19_PAGMA	Small ribosomal subunit protein eS19 (40S ribosomal protein S19)	rps19	Pagrus major (Red sea bream) (Chrysophrys major)	146	Evidence at transcript level
P61359	reviewed	RL27_HIPCM	Large ribosomal subunit protein eL27 (60S ribosomal protein L27)	rpl27	Hippocampus comes (Tiger tail seahorse)	136	Evidence at transcript level
P61367	reviewed	RL15_EPICO	Large ribosomal subunit protein eL15 (60S ribosomal protein L15)	rpl15	Epinephelus coioides (Orange-spotted grouper) (Epinephelus nebulosus)	204	Evidence at transcript level
P61369	reviewed	RL15_SILAS	Large ribosomal subunit protein eL15 (60S ribosomal protein L15)	rpl15	Silurus asotus (Amur catfish) (Parasilurus asotus)	204	Evidence at transcript level
P61487	reviewed	RL36A_ICTPU	Large ribosomal subunit protein eL42 (60S ribosomal protein L36a)	rpl36a	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	106	Inferred from homology
P62150	reviewed	CALM_ORYLA	Calmodulin-A (CaM A)	calm1	Oryzias latipes (Japanese rice fish) (Japanese killifish)	136	Evidence at protein level
P62156	reviewed	CALM_ONCSP	Calmodulin (CaM)	calm	Oncorhynchus sp. (Salmon)	149	Evidence at protein level
P62338	reviewed	MTA_CHIRA	Metallothionein A (MT-A)	mta	Chionodraco rastrospinosus (Ocellated icefish)	60	Inferred from homology
P62339	reviewed	MTA_NOTNE	Metallothionein A (MT-A) (MT_nc)	mta	Notothenia neglecta (Yellowbelly rockcod) (Notothenia coriiceps neglecta)	60	Evidence at protein level
P62447	reviewed	ZFPL1_DANRE	Zinc finger protein-like 1	zfpl1 zgc:63760	Danio rerio (Zebrafish) (Brachydanio rerio)	317	Evidence at transcript level
P62678	reviewed	MTB_TREBE	Metallothionein B (MT-B) (MT-II)	mtb	Trematomus bernacchii (Emerald rockcod) (Pseudotrematomus bernacchii)	60	Inferred from homology
P62679	reviewed	MTB_CHIRA	Metallothionein B (MT-B) (MT-II)	mtb	Chionodraco rastrospinosus (Ocellated icefish)	60	Inferred from homology
P62680	reviewed	MTB_NOTNE	Metallothionein B (MT-B) (MT-II)	mtb	Notothenia neglecta (Yellowbelly rockcod) (Notothenia coriiceps neglecta)	60	Evidence at protein level
P62681	reviewed	MTB_PAGBO	Metallothionein B (MT-B) (MT-II)	mtb	Pagothenia borchgrevinki (Bald rockcod) (Trematomus borchgrevinki)	60	Inferred from homology
P62682	reviewed	MTB_PARCR	Metallothionein B (MT-B) (MT-II)	mtb	Parachaenichthys charcoti (Charcot's dragonfish) (Chaenichthys charcoti)	60	Inferred from homology
P62711	reviewed	MTB_CHIHA	Metallothionein B (MT-B) (MT-II)	mtb	Chionodraco hamatus (Antarctic teleost icefish) (Chaenichthys rhinoceratus hamatus)	60	Inferred from homology
P62712	reviewed	MTB_MORSA	Metallothionein B (MT-B) (MT-II)	mtb	Morone saxatilis (Striped bass) (Perca saxatilis)	60	Inferred from homology
P62713	reviewed	MTB_GYMAC	Metallothionein B (MT-B) (MT-II)	mtb	Gymnodraco acuticeps (Antarctic dragonfish)	60	Inferred from homology
P63294	reviewed	GLUCL_ANGAN	Glucagon-like peptide (GLP)		Anguilla anguilla (European freshwater eel) (Muraena anguilla)	30	Evidence at protein level
P63295	reviewed	GLUCL_ANGRO	Glucagon-like peptide (GLP)		Anguilla rostrata (American eel) (Muraena rostrata)	30	Evidence at protein level
P68502	reviewed	MTB_SALAL	Metallothionein B (MT-B)	mtb	Salvelinus alpinus (Arctic char) (Salmo alpinus)	60	Inferred from homology
P68504	reviewed	MTA_SALSA	Metallothionein A (MT-A)	mta	Salmo salar (Atlantic salmon)	61	Inferred from homology
P68505	reviewed	MTA_SALAL	Metallothionein A (MT-A)	mta	Salvelinus alpinus (Arctic char) (Salmo alpinus)	61	Inferred from homology
P68506	reviewed	MTA_CHIHA	Metallothionein A (MT-A) (MT-I)	mta	Chionodraco hamatus (Antarctic teleost icefish) (Chaenichthys rhinoceratus hamatus)	60	Inferred from homology
P68507	reviewed	MTA_GYMAC	Metallothionein A (MT-A) (MT-I)	mta	Gymnodraco acuticeps (Antarctic dragonfish)	60	Inferred from homology
P68508	reviewed	MTA_PAGBO	Metallothionein A (MT-A) (MT-I)	mta	Pagothenia borchgrevinki (Bald rockcod) (Trematomus borchgrevinki)	60	Inferred from homology
P68956	reviewed	GLUC_PLAFE	Glucagon	gcg	Platichthys flesus (European flounder) (Pleuronectes flesus)	29	Evidence at protein level
P68957	reviewed	GLUC_THUOB	Glucagon	gcg	Thunnus obesus (Bigeye tuna)	29	Evidence at protein level
P69090	reviewed	RL18_OREMO	Large ribosomal subunit protein eL18 (60S ribosomal protein L18)	rpl18	Oreochromis mossambicus (Mozambique tilapia) (Tilapia mossambica)	188	Inferred from homology
P69092	reviewed	PYY_ONCKI	Peptide YY-like (PYY)		Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	36	Evidence at protein level
P69093	reviewed	PYY_ONCMY	Peptide YY-like (PYY)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	36	Evidence at protein level
P69132	reviewed	SMS1_MYOSC	Somatostatin-1 (Somatostatin I)	sst1	Myoxocephalus scorpius (Shorthorn sculpin) (Cottus scorpius)	14	Evidence at protein level
P69133	reviewed	SMS1_ONCKI	Somatostatin-1 (Somatostatin I)	sst1	Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)	14	Evidence at protein level
P69134	reviewed	SMS1_ANGAN	Somatostatin-1 (Somatostatin I)	sst1	Anguilla anguilla (European freshwater eel) (Muraena anguilla)	14	Evidence at protein level
P69143	reviewed	TKNB_ONCMY	Neurokinin-A (Neuromedin-L) (Substance K)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	10	Evidence at protein level
P69144	reviewed	TKNB_GADMO	Neurokinin-A (Neuromedin-L) (Substance K)		Gadus morhua (Atlantic cod)	10	Evidence at protein level
P69837	reviewed	GRA4A_POGPU	Grammistin Pp 4a		Pogonoperca punctata (Clown grouper) (Grammistes punctatus)	24	Evidence at protein level
P69838	reviewed	GRA4B_POGPU	Grammistin Pp 4b		Pogonoperca punctata (Clown grouper) (Grammistes punctatus)	24	Evidence at protein level
P69839	reviewed	GRAB_GRASX	Grammistin Gs B		Grammistes sexlineatus (Goldenstriped soapfish) (Perca sexlineata)	12	Evidence at protein level
P69840	reviewed	GRAD_GRASX	Grammistin Gs D		Grammistes sexlineatus (Goldenstriped soapfish) (Perca sexlineata)	13	Evidence at protein level
P69841	reviewed	GRAE_GRASX	Grammistin Gs E		Grammistes sexlineatus (Goldenstriped soapfish) (Perca sexlineata)	13	Evidence at protein level
P69843	reviewed	GRA2A_POGPU	Grammistin Pp 2a		Pogonoperca punctata (Clown grouper) (Grammistes punctatus)	13	Evidence at protein level
P69844	reviewed	GRA2B_POGPU	Grammistin Pp 2b		Pogonoperca punctata (Clown grouper) (Grammistes punctatus)	13	Evidence at protein level
P69845	reviewed	GRAA_GRASX	Grammistin Gs A		Grammistes sexlineatus (Goldenstriped soapfish) (Perca sexlineata)	28	Evidence at protein level
P69846	reviewed	GRAC_GRASX	Grammistin Gs C		Grammistes sexlineatus (Goldenstriped soapfish) (Perca sexlineata)	26	Evidence at protein level
P70066	reviewed	RS15_XIPMA	Small ribosomal subunit protein uS19 (40S ribosomal protein S15) (RIG protein)	rps15 rig	Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus)	145	Evidence at transcript level
P70074	reviewed	GON1_PAGMA	Progonadoliberin-1 (Progonadoliberin I) [Cleaved into: Gonadoliberin-1 (Gonadoliberin I) (Gonadotropin-releasing hormone I) (GnRH-I) (Luliberin I) (Luteinizing hormone-releasing hormone I) (LH-RH I); GnRH-associated peptide 1 (GnRH-associated peptide I)]	gnrh1	Pagrus major (Red sea bream) (Chrysophrys major)	95	Inferred from homology
P79695	reviewed	GLUC_CARAU	Pro-glucagon [Cleaved into: Glicentin-related polypeptide (GRPP); Glucagon; Glucagon-like peptide]	gcg	Carassius auratus (Goldfish)	121	Evidence at transcript level
P79697	reviewed	SOML_CARAU	Somatolactin (SL)		Carassius auratus (Goldfish)	230	Evidence at transcript level
P79702	reviewed	FOS_CYPCA	Protein c-Fos (Cellular oncogene fos) (Transcription factor AP-1 subunit c-Fos)	fos	Cyprinus carpio (Common carp)	347	Evidence at transcript level
P79729	reviewed	DHH_DANRE	Desert hedgehog protein (DHH)	dhh	Danio rerio (Zebrafish) (Brachydanio rerio)	88	Inferred from homology
P80327	reviewed	COX4_ONCMY	Cytochrome c oxidase polypeptide 4, mitochondrial (Cytochrome c oxidase polypeptide IV)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	19	Evidence at protein level
P80328	reviewed	COX5A_ONCMY	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)	cox5a	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	10	Evidence at protein level
P80329	reviewed	CX5B1_ONCMY	Cytochrome c oxidase subunit 5B heart, mitochondrial (Cytochrome c oxidase polypeptide Vb heart)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	20	Evidence at protein level
P80330	reviewed	CX5B2_ONCMY	Cytochrome c oxidase subunit 5B liver, mitochondrial (Cytochrome c oxidase polypeptide Vb liver)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	33	Evidence at protein level
P80331	reviewed	COX6C_ONCMY	Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	10	Evidence at protein level
P80332	reviewed	CX7A2_ONCMY	Cytochrome c oxidase subunit 7A-heart, mitochondrial (Cytochrome c oxidase subunit VIIa-heart)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	10	Evidence at protein level
P80333	reviewed	CX7A1_ONCMY	Cytochrome c oxidase subunit 7A-liver, mitochondrial (Cytochrome c oxidase subunit VIIa-liver)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	23	Evidence at protein level
P80334	reviewed	COX7C_ONCMY	Cytochrome c oxidase polypeptide VIIc		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	25	Evidence at protein level
P80335	reviewed	COX8B_ONCMY	Cytochrome c oxidase subunit 8B, mitochondrial (Cytochrome c oxidase polypeptide VIII-liver/heart) (Cytochrome c oxidase subunit 8H)		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	20	Evidence at protein level
P80593	reviewed	MT_RUTRU	Metallothionein (MT)	mt	Rutilus rutilus (Roach)	60	Evidence at protein level
P80972	reviewed	COX5A_THUOB	Cytochrome c oxidase subunit 5A-1, mitochondrial (Cytochrome c oxidase polypeptide Va-1)		Thunnus obesus (Bigeye tuna)	20	Evidence at protein level
P80973	reviewed	COXC_THUOB	Cytochrome c oxidase subunit 5A-2, mitochondrial (Cytochrome c oxidase polypeptide Va-2)		Thunnus obesus (Bigeye tuna)	24	Evidence at protein level
P80974	reviewed	COX5B_THUOB	Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)		Thunnus obesus (Bigeye tuna)	20	Evidence at protein level
P80975	reviewed	COX6A_THUOB	Cytochrome c oxidase subunit 6A, mitochondrial (Cytochrome c oxidase polypeptide VIa)		Thunnus obesus (Bigeye tuna)	9	Evidence at protein level
P80976	reviewed	COX6B_THUOB	Cytochrome c oxidase subunit 6B (Cytochrome c oxidase subunit VIb) (COX VIb)		Thunnus obesus (Bigeye tuna)	34	Evidence at protein level
P80978	reviewed	CX6C2_THUOB	Cytochrome c oxidase subunit 6C-2 (Cytochrome c oxidase polypeptide VIc-2)		Thunnus obesus (Bigeye tuna)	15	Evidence at protein level
P80979	reviewed	COX7A_THUOB	Cytochrome c oxidase subunit 7A, mitochondrial (Cytochrome c oxidase subunit VIIa)		Thunnus obesus (Bigeye tuna)	15	Evidence at protein level
P80980	reviewed	COXN_THUOB	Cytochrome c oxidase subunit 7B-heart, mitochondrial (EC 7.1.1.9) (Cytochrome c oxidase polypeptide VIIb-heart)		Thunnus obesus (Bigeye tuna)	20	Evidence at protein level
P80981	reviewed	COXM_THUOB	Cytochrome c oxidase subunit 7B-liver, mitochondrial (EC 7.1.1.9) (Cytochrome c oxidase polypeptide VIIb-liver)		Thunnus obesus (Bigeye tuna)	20	Evidence at protein level
P80982	reviewed	COX7C_THUOB	Cytochrome c oxidase polypeptide 7C, mitochondrial (Cytochrome c oxidase polypeptide VIIc)		Thunnus obesus (Bigeye tuna)	10	Evidence at protein level
P80983	reviewed	COX8B_THUOB	Cytochrome c oxidase subunit 8B, mitochondrial (Cytochrome c oxidase polypeptide VIII-1) (Cytochrome c oxidase subunit 8H)		Thunnus obesus (Bigeye tuna)	20	Evidence at protein level
P80984	reviewed	COX8A_THUOB	Cytochrome c oxidase subunit 8A, mitochondrial (Cytochrome c oxidase polypeptide VIII-2)		Thunnus obesus (Bigeye tuna)	19	Evidence at protein level
P81014	reviewed	GRN2_CYPCA	Granulin-2		Cyprinus carpio (Common carp)	57	Evidence at protein level
P81015	reviewed	GRN3_CYPCA	Granulin-3		Cyprinus carpio (Common carp)	57	Evidence at protein level
P81022	reviewed	UTS2_POLSP	Urotensin-2 (Urotensin II) (U-II) (UII)		Polyodon spathula (North American paddlefish) (Squalus spathula)	12	Evidence at protein level
P81026	reviewed	GLUC1_ORENI	Glucagon-1 (Glucagon I)	gcg1	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	36	Evidence at protein level
P81027	reviewed	GLUC2_ORENI	Glucagon-2 (Glucagon II)	gcg2	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	33	Evidence at protein level
P81028	reviewed	PYY_ORENI	Peptide YY-like (PYY)		Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	36	Evidence at protein level
P81029	reviewed	SMS2_ORENI	Somatostatin-2 (Somatostatin II) [Cleaved into: [Tyr21,Gly24]-somatostatin-28; [Tyr7,Gly10]-somatostatin-14]	sst2	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	28	Evidence at protein level
P81037	reviewed	MILT_ONCKE	Miltpain (EC 3.4.22.-)		Oncorhynchus keta (Chum salmon) (Salmo keta)	15	Evidence at protein level
P81175	reviewed	FABPI_RHASA	Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)	fabp2	Rhamdia sapo (South American catfish)	33	Evidence at protein level
P81369	reviewed	SAL1_ONCMY	Salmocidin-1		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	15	Evidence at protein level
P81557	reviewed	MUEP_SCAVE	Mucus envelope protein		Scarus vetula (Queen parrotfish)	26	Evidence at protein level
P81660	reviewed	TNNC2_ANGAN	Troponin C, skeletal muscle (TNC)		Anguilla anguilla (European freshwater eel) (Muraena anguilla)	160	Evidence at protein level
P81879	reviewed	SMS2_PIAME	Somatostatin-2 (Somatostatin II)	sst2	Piaractus mesopotamicus (Small-scaled pacu) (Myletes mesopotamicus)	57	Evidence at protein level
P81880	reviewed	GLUC_PIAME	Pro-glucagon [Cleaved into: Glucagon; Glucagon-like peptide]	gcg	Piaractus mesopotamicus (Small-scaled pacu) (Myletes mesopotamicus)	71	Evidence at protein level
P81925	reviewed	AB27_CYPCA	27 kDa antibacterial protein		Cyprinus carpio (Common carp)	19	Evidence at protein level
P82160	reviewed	MLE3_CHERA	Myosin light chain 3, skeletal muscle isoform (LC-3) (LC3) (Myosin light chain alkali 2) (Myosin light chain A2)		Chelon ramada (Thin-lipped grey mullet) (Mugil ramada)	148	Evidence at protein level
P82238	reviewed	SAL2A_ONCMY	Salmocidin-2A		Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	13	Evidence at protein level
